Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13599291,"Dance of the Red Death (Masque of the Red Death, #2)",Bethany Griffin,"Griffin, Bethany",,62107828,9780062107824,0,3.68,Greenwillow Books,Hardcover,327,2013,2013,,2021/08/20,,,read,,,,1,0
12924275,"Masque of the Red Death (Masque of the Red Death, #1)",Bethany Griffin,"Griffin, Bethany",,62107798,9780062107794,0,3.70,Greenwillow Books,Hardcover,319,2012,2012,,2021/08/20,,,read,,,,1,0
12829446,"Fated (Soul Seekers, #1)",Alyson Noel,"Noel, Alyson",,312664850,9780312664855,0,3.67,St. Martin's Griffin,Hardcover,352,2012,2012,,2021/08/20,,,read,,,,1,0
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,375822747,9780375822742,0,3.90,Random House Children's Books,Paperback,270,2003,2003,,2021/08/20,,,read,,,,1,0
18189606,Since You've Been Gone,Morgan Matson,"Matson, Morgan",,1442435003,9781442435001,0,4.07,Simon & Schuster,Hardcover,449,2014,2014,,2021/08/20,,,read,,,,1,0
18222699,"Graduation Day (The Testing, #3)",Joelle Charbonneau,"Charbonneau, Joelle",,547959214,9780547959214,0,3.81,Clarion Books,Hardcover,304,2014,2014,,2021/08/20,,,read,,,,1,0
13326831,"The Testing (The Testing, #1)",Joelle Charbonneau,"Charbonneau, Joelle","Amélie Sarn, Amélie Hesnard",547959109,9780547959108,0,4.05,Houghton Mifflin,Hardcover,325,2013,2013,,2021/08/20,,,read,,,,1,0
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,679734775,9780679734772,0,3.68,Knopf Doubleday Publishing Group,Paperback,110,2009,1984,,2021/08/20,,,read,,,,1,0
6931356,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,"Keplinger, Kody",,316084239,9780316084239,0,3.79,Little Brown/Poppy,Hardcover,280,2010,2010,,2021/08/20,,,read,,,,1,0
28374007,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,"Blake, Kendare",,62385437,9780062385437,0,3.79,Quill Tree Books,Hardcover,403,2016,2016,,2021/08/20,,,read,,,,1,0
667,Anthem,Ayn Rand,"Rand, Ayn",Leonard Peikoff,452281253,9780452281257,0,3.61,NAL,Paperback,105,1999,1938,,2021/08/20,,,read,,,,1,0
69477,Z for Zachariah,Robert C. O'Brien,"O'Brien, Robert C.",,,,0,3.68,G. K. Hall,Hardcover,249,1976,1974,,2021/08/20,,,read,,,,1,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,1561797464,9781561797462,0,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2021/08/20,,,read,,,,1,0
